Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2020-04-11 3:12 AM,2020-04-11 9:28 AM,366,9,1,375,NA,NA,NA
2020-04-10 6:35 AM,2020-04-10 7:54 AM,74,2,0,79,NA,NA,NA
2020-04-09 2:17 AM,2020-04-09 7:20 AM,286,17,0,303,NA,NA,NA
2020-04-08 12:57 AM,2020-04-08 9:39 AM,465,26,0,522,NA,NA,NA
2020-04-07 8:44 PM,2020-04-07 10:12 PM,60,27,7,87,NA,NA,NA
2020-04-07 12:14 AM,2020-04-07 8:23 AM,474,14,0,488,NA,NA,NA
2020-04-06 12:57 AM,2020-04-06 8:50 AM,446,27,0,473,NA,NA,NA
2020-04-05 2:10 PM,2020-04-05 3:26 PM,70,6,0,76,NA,NA,NA
2020-04-04 12:40 AM,2020-04-04 9:48 AM,488,60,19,548,143,224,121
2020-04-03 1:14 AM,2020-04-03 8:36 AM,413,28,1,441,NA,NA,NA
2020-04-02 1:49 AM,2020-04-02 9:11 AM,421,21,0,442,NA,NA,NA
2020-04-01 1:07 AM,2020-04-01 9:58 AM,488,43,2,531,NA,NA,NA
2020-03-31 2:05 AM,2020-03-31 7:49 AM,328,16,0,344,NA,NA,NA
2020-03-30 12:53 AM,2020-03-30 9:22 AM,483,26,1,509,NA,NA,NA
2020-03-28 11:41 PM,2020-03-29 9:39 AM,537,59,1,597,NA,NA,NA
2020-03-27 12:12 AM,2020-03-27 8:19 AM,454,32,1,486,NA,NA,NA
2020-03-26 7:26 AM,2020-03-26 8:52 AM,85,0,0,86,NA,NA,NA
2020-03-26 12:27 AM,2020-03-26 4:50 AM,245,17,2,262,NA,NA,NA
2020-03-25 12:47 AM,2020-03-25 9:08 AM,440,60,22,500,113,256,71
2020-03-20 11:19 PM,2020-03-21 4:21 AM,246,55,10,301,51,112,83
2020-03-19 12:02 AM,2020-03-19 9:31 AM,504,64,23,568,119,311,74
2020-03-18 2:05 AM,2020-03-18 8:24 AM,363,16,7,379,99,167,97
2020-03-17 1:05 AM,2020-03-17 8:39 AM,408,46,23,454,98,220,90
2020-03-15 11:38 PM,2020-03-16 10:49 AM,593,78,34,671,119,353,121
2020-03-15 5:06 AM,2020-03-15 9:50 AM,238,46,9,284,41,156,41
2020-03-14 9:31 AM,2020-03-14 12:02 PM,150,1,0,151,NA,NA,NA
2020-03-01 11:55 PM,2020-03-02 11:38 AM,603,100,34,703,183,273,147
2020-03-01 4:04 AM,2020-03-01 11:17 AM,390,43,11,433,93,199,98
2020-02-29 4:25 AM,2020-02-29 8:06 AM,196,25,6,221,12,117,67
2020-02-28 1:52 AM,2020-02-28 11:15 AM,503,60,26,563,145,293,65
2020-02-27 2:15 AM,2020-02-27 8:20 AM,306,58,9,364,63,181,62
2020-02-26 2:42 AM,2020-02-26 7:16 AM,251,23,10,274,64,114,73
2020-02-24 12:24 AM,2020-02-24 9:30 AM,481,65,23,546,102,329,50
2020-02-23 12:41 AM,2020-02-23 8:14 AM,395,58,13,453,92,229,74
2020-02-22 1:14 AM,2020-02-22 7:47 AM,348,45,18,393,67,213,68
2020-02-20 11:24 PM,2020-02-21 8:15 AM,476,55,22,531,132,273,71
2020-02-20 1:05 AM,2020-02-20 6:00 AM,266,29,15,295,83,116,67
2020-02-18 2:26 AM,2020-02-18 4:16 AM,102,6,0,110,NA,NA,NA
2020-02-17 11:08 AM,2020-02-17 3:26 PM,246,12,5,258,62,141,43
2020-02-16 3:05 AM,2020-02-16 7:50 AM,249,35,7,284,77,109,63
2020-02-15 2:52 PM,2020-02-15 5:42 PM,162,7,0,169,NA,NA,NA
2020-02-14 2:04 AM,2020-02-14 5:45 AM,197,23,7,220,33,125,39
2020-02-13 1:58 AM,2020-02-13 6:28 AM,250,20,8,270,62,88,100
2020-02-12 12:20 AM,2020-02-12 5:56 AM,299,37,14,336,69,172,58
2020-02-11 12:21 AM,2020-02-11 6:00 AM,301,38,15,339,79,139,83
2020-02-10 12:24 AM,2020-02-10 8:04 AM,443,13,0,459,NA,NA,NA
2020-02-09 2:05 AM,2020-02-09 7:52 AM,293,54,17,347,56,196,41
2020-02-08 4:35 PM,2020-02-08 7:08 PM,152,1,0,153,NA,NA,NA
2020-02-08 12:55 AM,2020-02-08 11:22 AM,564,63,28,627,146,296,122
2020-02-07 12:25 AM,2020-02-07 6:04 AM,304,35,16,339,79,161,64
2020-02-05 10:39 PM,2020-02-06 6:00 AM,410,29,0,441,NA,NA,NA
2020-02-04 11:43 PM,2020-02-05 5:59 AM,325,51,9,376,75,182,68
2020-02-03 11:07 PM,2020-02-04 6:03 AM,376,40,16,416,92,204,80
2020-02-02 11:06 PM,2020-02-03 5:56 AM,343,67,16,410,100,119,124
2020-02-02 2:58 AM,2020-02-02 10:10 AM,350,82,12,432,151,83,116
2020-01-31 12:13 AM,2020-01-31 7:28 AM,394,41,18,435,113,169,112
2020-01-30 1:26 AM,2020-01-30 8:31 AM,368,56,11,424,102,157,109
2020-01-29 1:16 AM,2020-01-29 9:09 AM,419,53,16,472,140,152,127
2020-01-28 1:29 AM,2020-01-28 8:27 AM,376,42,20,418,102,224,50
2020-01-20 3:18 AM,2020-01-20 7:37 AM,255,4,1,259,NA,NA,NA
2020-01-19 8:39 AM,2020-01-19 10:54 AM,131,4,0,135,NA,NA,NA
2020-01-17 3:05 AM,2020-01-17 6:35 AM,191,19,10,210,29,121,41
2020-01-16 1:07 AM,2020-01-16 6:57 AM,290,60,16,350,49,214,27
2020-01-14 8:27 PM,2020-01-15 8:13 AM,619,87,39,706,172,342,105
2020-01-14 1:44 AM,2020-01-14 7:18 AM,259,75,15,334,62,165,32
2020-01-12 11:54 PM,2020-01-13 8:28 AM,420,94,19,514,104,255,61
2020-01-12 4:15 PM,2020-01-12 6:12 PM,109,7,0,116,NA,NA,NA
2020-01-12 12:19 AM,2020-01-12 9:11 AM,441,91,22,532,103,303,35
2020-01-10 1:23 AM,2020-01-10 7:23 AM,343,17,0,360,NA,NA,NA
2020-01-09 12:01 AM,2020-01-09 6:40 AM,343,56,24,399,63,225,55
2020-01-07 11:55 PM,2020-01-08 7:38 AM,388,75,26,463,85,243,60
2020-01-06 12:57 AM,2020-01-06 7:55 AM,369,48,18,417,84,183,102
2020-01-05 12:14 AM,2020-01-05 7:19 AM,376,49,19,425,108,208,60
